"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-04","0.01",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-05","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-06","0.04",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-07","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-09","0.81",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-10","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-11","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-13","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-14","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-15","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-16","0.01",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-17","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-18","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-19","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-20","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-21","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-22","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-23","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-24","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-25","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-26","1.43",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-28","0.73",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-29","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-30","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-01-31","0.77",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-01","0.03",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-02","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-03","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-04","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-05","0.11",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-07","0.62",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-08","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-09","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-10","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-11","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-12","0.49",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-14","0.88",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-15","0.47",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-16","0.65",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-17","0.01",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-18","0.30",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-19","0.03",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-20","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-21","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-22","0.25",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-23","0.35",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-24","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-26","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-27","0.34",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-02-28","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-01","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-02","0.27",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-03","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-04","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-05","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-06","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-07","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-08","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-09","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-10","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-11","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-12","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-13","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-14","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-15","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-16","0.89",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-17","0.51",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-18","0.13",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-19","0.71",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-20","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-22","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-23","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-24","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-25","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-26","1.08",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-27","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-28","0.70",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-29","0.25",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-30","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-03-31","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-01","0.51",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-02","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-03","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-04","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-05","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-06","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-07","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-08","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-09","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-10","0.12",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-11","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-12","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-13","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-14","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-15","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-16","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-17","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-18","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-19","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-20","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-21","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-22","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-23","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-24","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-25","0.70",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-26","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-27","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-29","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-04-30","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-01","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-02","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-03","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-05","1.52",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-06","0.02",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-11","0.68",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-12","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-13","0.30",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-14","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-15","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-16","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-17","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-18","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-19","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-20","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-21","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-22","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-23","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-24","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-25","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-26","0.03",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-27","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-28","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-29","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-30","0.05",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-05-31","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-06-01","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-06-02","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-06-03","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-06-04","0.64",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-06-05","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-06-06","0.00",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-06-07","0.50",,,
"US1NCMK0053","CHARLOTTE 7.0 ENE, NC US","2021-06-08","1.75",,,
