"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","TOBS"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-04","0.00",,"68","47","47"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-05","0.00",,"52","36","39"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-06","0.04",,"52","36","36"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-07","0.00",,"51","32","32"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-08","0.66",,"51","32","43"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-09","0.06",,"54","37","37"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-10","0.00",,"50","31","32"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-11","0.00",,"51","31","33"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-12","0.26",,"55","33","45"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-13","0.02",,"49","38","38"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-14","0.20",,"55","38","42"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-15","0.00",,"57","36","36"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-16","0.26",,"61","36","41"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-17","0.00",,"52","32","32"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-18","0.00",,"52","32","42"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-19","0.00",,"57","31","31"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-20","0.00",,"59","30","52"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-21","0.00",,"60","33","50"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-22","0.00",,"61","35","46"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-23","0.00",,"58","38","40"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-24","0.00",,"53","40","44"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-25","0.02",,"53","33","45"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-26","0.00",,"63","45","57"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-27","0.18",,"67","57","59"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-28","0.30",,"59","36","57"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-29","0.00",,"57","28","28"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-30","0.00",,"43","26","39"
"USC00319461","WILMINGTON 7 SE, NC US","2021-01-31","0.00",,"54","39","39"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-01","1.62",,"60","39","40"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-02","1.60",,"42","37","37"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-03","0.00",,"47","32","32"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-04","0.00",,"52","28","28"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-05","0.00",,"54","28","28"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-06","0.00",,"53","28","44"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-07","1.32",,"51","40","43"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-08","0.00",,"50","32","34"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-09","0.00",,"52","34","50"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-10","0.06",,"67","48","48"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-11","0.10",,"53","47","50"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-12","0.15",,"53","47","50"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-13","1.10",,"61","38","38"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-14","1.28",,"44","38","38"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-15","1.10",,"44","38","40"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-16","0.30",,"69","40","61"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-17","0.00",,"70","37","37"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-18","0.02",,"65","33","36"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-19","1.12",,"46","34","34"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-20","0.50",,"40","31","34"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-21","0.00",,"48","29","32"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-22","0.06",,"55","32","54"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-23","0.00",,"62","49","49"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-24","0.00",,"65","40","41"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-25","0.00",,"72","41","51"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-26","0.00",,"70","51","55"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-27","0.00",,"57","49","50"
"USC00319461","WILMINGTON 7 SE, NC US","2021-02-28","0.00",,"82","50","65"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-01","0.00",,"83","64","65"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-02","0.00",,"80","47","48"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-03","0.20",,"51","41","41"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-04","0.41",,"62","37","43"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-05","0.00",,"69","40","42"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-06","0.00",,"55","41","43"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-07","0.00",,"51","31","36"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-08","0.00",,"57","29","36"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-09","0.00",,"59","36","48"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-10","0.00",,"70","42","47"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-11","0.00",,"72","43","44"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-12","0.00",,"73","44","56"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-13","0.00",,"79","54","64"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-14","0.00",,"66","53","54"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-15","0.04",,"71","54","54"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-16","0.02",,"55","46","46"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-17","0.90",,"50","42","49"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-18","0.00",,"62","49","62"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-19","0.00",,"75","55","57"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-20","0.00",,"59","39","41"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-21","0.00",,"55","41","48"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-22","0.00",,"62","46","54"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-23","0.00",,"66","50","51"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-24","0.10",,"70","51","53"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-25","0.00",,"78","53","66"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-26","0.00",,"79","59","62"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-27","0.00",,"79","58","63"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-28","0.00",,"83","63","70"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-29","0.08",,"81","52","52"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-30","0.00",,"64","50","50"
"USC00319461","WILMINGTON 7 SE, NC US","2021-03-31","0.00",,"72","50","64"
"USC00319461","WILMINGTON 7 SE, NC US","2021-04-01","0.80",,"80","54","54"
"USC00319461","WILMINGTON 7 SE, NC US","2021-04-02","0.00",,"58","36","36"
"USC00319461","WILMINGTON 7 SE, NC US","2021-04-03","0.00",,"50","31","32"
"USC00319461","WILMINGTON 7 SE, NC US","2021-04-04","0.00",,"56","32","43"
"USC00319461","WILMINGTON 7 SE, NC US","2021-04-05","0.00",,"77","40","50"
"USC00319461","WILMINGTON 7 SE, NC US","2021-04-06","0.00",,"72","50","61"
"USC00319461","WILMINGTON 7 SE, NC US","2021-04-07","0.00",,"85","56","58"
"USC00319461","WILMINGTON 7 SE, NC US","2021-04-08","0.00",,"86","54","64"
"USC00319461","WILMINGTON 7 SE, NC US","2021-04-09","0.00",,"85","60","66"
"USC00319461","WILMINGTON 7 SE, NC US","2021-04-10","0.00",,"81","64","64"
"USC00319461","WILMINGTON 7 SE, NC US","2021-04-11","0.44",,"76","63","64"
"USC00319461","WILMINGTON 7 SE, NC US","2021-04-12","0.00",,"79","60","62"
"USC00319461","WILMINGTON 7 SE, NC US","2021-04-13","0.00",,"82","55","56"
"USC00319461","WILMINGTON 7 SE, NC US","2021-04-14","0.00",,"73","46","58"
"USC00319461","WILMINGTON 7 SE, NC US","2021-04-15","0.00",,"74","58","67"
"USC00319461","WILMINGTON 7 SE, NC US","2021-04-16","0.01",,"78","41","50"
"USC00319461","WILMINGTON 7 SE, NC US","2021-04-17","0.00",,"65","50","55"
"USC00319461","WILMINGTON 7 SE, NC US","2021-04-18","0.00",,"69","49","53"
"USC00319461","WILMINGTON 7 SE, NC US","2021-04-19","0.00",,"72","51","65"
