"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","TOBS"
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-04","0.03",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-05","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-06","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-07","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-08","0.26",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-09","0.45",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-10","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-11","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-12","0.15",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-13","0.05",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-14","0.04",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-16","0.30",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-17","0.03",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-18","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-19","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-20","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-21","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-22","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-23","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-24","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-25","0.11",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-26","0.76",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-27","0.03",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-28","0.70",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-29","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-30","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-01-31","0.05",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-01","1.13",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-02","0.06",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-03","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-04","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-05","0.17",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-06","0.11",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-07","0.46",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-08","0.13",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-09","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-10","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-11","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-12","0.74",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-13","0.33",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-14","0.58",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-15","0.56",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-16","0.62",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-17","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-18","0.76",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-19","1.12",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-20","0.08",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-21","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-22","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-23","0.57",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-24","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-25","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-26","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-27","0.65",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-02-28","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-03-01","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-03-02","0.08",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-03-03","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-03-04","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-03-05","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-03-06","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-03-07","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-03-08","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-03-09","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-03-10","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-03-11","0.00",,,,
"US1NCWK0022","APEX 6.1 ESE, NC US","2021-03-12","0.00",,,,
